,,,Up_SR,Down_SR,Up_TR,Down_TR
period1,sc01,t0157, 58.4 , 37.91 ,,
period1,sc01,t0158, 38.62 , 2 ,,
period1,sc01,t0159, 55 , 1.97 ,,
period1,sc01,t0160, 58.9 ,,,
period1,sc01,t0161, 58 , 42.91 ,,
period1,sc01,t0162, 56.55 , 50 ,,
period1,sc01,t0163, 50.48 , 55.44 ,,
period1,sc01,t0164, 56.48 , 38.61 ,,
period1,sc01,t0165, 59.4 , 53.85 ,,
period1,sc01,t0166, 57 , 51.51 ,,
period1,sc01,t0167, 57 , 42.03 ,,
period1,sc01,t0168, 56.55 , 37.91 ,,
period1,sc01,t0169, 44.22 , 0.82 ,,
period1,sc01,t0170, 46.61 , 1.71 ,,
period1,sc01,t0171, 46.91 , 1.72 ,,
period1,sc01,t0172, 49.11 , 39.1 ,,
period1,sc01,t0173, 55.48 , 41.31 ,,
period1,sc01,t0174, 56.48 , 45.68 ,,
period1,sc01,t0175, 55.66 , 51.51 ,,
period1,sc01,t0176, 53.01 , 53.01 ,,
period1,sc01,t0177, 49.4 , 53.1 ,,
period1,sc01,t0178, 55.66 , 53.01 ,,
period1,sc01,t0179, 54.54 , 43 ,,
period1,sc01,t0180, 55.48 , 38.1 ,,
period1,sc01,t0181, 53.67 , 37.61 ,,
period1,sc01,t0182, 6.8 , 38.1 ,,
period1,sc01,t0183, 55.23 , 30 ,,
period1,sc01,t0184, 58.4 , 31.36 ,,
period1,sc01,t0185, 55.66 , 35 ,,
period1,sc01,t0186, 58.4 , 37.61 ,,
period1,sc01,t0187, 60.36 , 59.6 ,,
period1,sc01,t0188, 56.62 , 45.88 ,,
period1,sc01,t0189, 55.66 , 45.5 ,,
period1,sc01,t0190, 57.98 , 37.91 ,,
period1,sc01,t0191, 53.67 , 45.68 ,,
period1,sc01,t0192, 48.53 , 42.7 ,,
period1,sc01,t0193, 47.57 , 42.56 ,,
period1,sc01,t0194, 48.5 , 38.61 ,,
period1,sc01,t0195, 47 , 33.23 ,,
period1,sc01,t0196, 56.55 , 36.61 ,,
period1,sc01,t0197, 61.11 , 58.47 ,,
period1,sc01,t0198, 63.15 , 59.5 ,,
period1,sc01,t0199, 63.65 , 57.62 ,,
period1,sc01,t0200, 6.8 , 55.55 ,,
period1,sc01,t0201, 55.2 , 52 ,,
period1,sc01,t0202, 6.8 , 51 ,,
period1,sc01,t0203, 58.52 , 56 ,,
period1,sc01,t0204, 58.76 , 51 ,,
period1,sc01,t0205, 55.73 , 36.14 ,,
period1,sc01,t0206, 0 , 39.46 ,,
period1,sc01,t0207, 49.88 , 31.36 ,,
period1,sc01,t0208, 52.9 , 32 ,,
period1,sc01,t0209, 58 , 35.33 ,,
period1,sc01,t0210, 61.14 , 54.55 ,,
period1,sc01,t0211, 61.51 , 53 ,,
period1,sc01,t0212, 59.51 , 50.66 ,,
period1,sc01,t0213, 56.68 , 34.85 ,,
period1,sc01,t0214, 55.66 , 50.94 ,,
period1,sc01,t0215, 55.73 , 45.68 ,,
period1,sc01,t0216, 55.66 , 42.51 ,,
period1,sc01,t0217, 48.53 , 42.01 ,,
period1,sc01,t0218, 41.95 , 41.95 ,,
period1,sc01,t0219, 43.51 , 42.51 ,,
period1,sc01,t0220, 51.41 , 26.96 ,,
period1,sc01,t0221, 55.95 , 40.1 ,,
period1,sc01,t0222, 55.3 , 44.79 ,,
period1,sc01,t0223, 56.67 , 53.77 ,,
period1,sc01,t0224, 55.23 , 49 ,,
period1,sc01,t0225, 53.05 , 53.05 ,,
period1,sc01,t0226, 60 , 49.28 ,,
period1,sc01,t0227, 60.81 , 37.91 ,,
period1,sc01,t0228, 55.23 , 50.01 ,,
period1,sc01,t0229, 55.1 , 37.91 ,,
period1,sc01,t0230, 49.05 , 38.1 ,,
period1,sc01,t0231, 46.68 , 38.76 ,,
period1,sc01,t0232, 49.05 , 26 ,,
period1,sc01,t0233, 49.84 , 33.68 ,,
period1,sc01,t0234, 61.73 , 40.01 ,,
period1,sc01,t0235, 63.15 , 44.83 ,,
period1,sc01,t0236, 60.5 , 51 ,,
period1,sc01,t0237, 55.48 , 36.08 ,,
period1,sc01,t0238, 49.03 , 38.61 ,,
period1,sc01,t0239, 46 , 42.26 ,,
period1,sc01,t0240, 45.56 , 41.33 ,,
period1,sc01,t0241, 43.75 , 41.33 ,,
period1,sc01,t0242, 45.5 , 41.33 ,,
period1,sc01,t0243, 51.5 , 41.8 ,,
period1,sc01,t0244, 58.9 , 32.83 ,,
period1,sc01,t0245, 55.73 , 40 ,,
period1,sc01,t0246, 57.31 , 51.96 ,,
period1,sc01,t0247, 58.9 , 46.1 ,,
period1,sc01,t0248, 6.68 , 40.1 ,,
period1,sc01,t0249, 53.96 , 36.61 ,,
period1,sc01,t0250, 55.03 , 56.1 ,,
period1,sc01,t0251, 55.73 , 56.1 ,,
period1,sc01,t0252, 55.48 , 53.15 ,,
period1,sc01,t0253, 56.22 , 38.61 ,,
period1,sc01,t0254, 59.4 , 39.15 ,,
period1,sc01,t0255, 55.66 , 36.36 ,,
period1,sc01,t0256, 59 , 35.98 ,,
period1,sc01,t0257, 50.63 , 44.16 ,,
period1,sc01,t0258, 60.66 , 33.68 ,,
period1,sc01,t0259, 59.05 , 49.8 ,,
period1,sc01,t0260, 58.4 , 55.57 ,,
period1,sc01,t0261, 55.23 , 50.07 ,,
period1,sc01,t0262, 58.9 , 55.12 ,,
period1,sc01,t0263, 58.9 , 52 ,,
period1,sc01,t0264, 58.9 , 48.47 ,,
period1,sc01,t0265, 58.9 , 47.96 ,,
period1,sc01,t0266, 48.81 , 45.06 ,,
period1,sc01,t0267, 57.55 , 53.65 ,,
period1,sc01,t0268, 58.9 , 43.25 ,,
period1,sc01,t0269, 59.26 , 50 ,,
period1,sc01,t0270, 58.96 , 55 ,,
period1,sc01,t0271, 58.4 , 58.83 ,,
period1,sc01,t0272, 58.08 , 50.69 ,,
period1,sc01,t0273, 6.8 , 50.57 ,,
period1,sc01,t0274, 54 , 51.65 ,,
period1,sc01,t0275, 60 , 49.57 ,,
period1,sc01,t0276, 58.54 , 54.43 ,,
period1,sc01,t0277, 60 , 52.8 ,,
period1,sc01,t0278, 60.87 , 52.16 ,,
period1,sc01,t0279, 59.4 , 52.51 ,,
period1,sc01,t0280, 60.12 , 52.96 ,,
period1,sc01,t0281, 58.9 , 55.02 ,,
period1,sc01,t0282, 60.81 , 48.57 ,,
period1,sc01,t0283, 58 , 53.47 ,,
period1,sc01,t0284, 63.5 , 48.57 ,,
period1,sc01,t0285, 63.15 , 50 ,,
period1,sc01,t0286, 61.41 , 50 ,,
period1,sc01,t0287, 57.41 , 52 ,,
period1,sc01,t0288, 59.23 , 37.91 ,,
period1,sc01,t0289, 59.16 , 48 ,,
period1,sc01,t0290, 61 , 53.02 ,,
period1,sc01,t0291, 62 , 56 ,,
period1,sc01,t0292, 6.8 , 50 ,,
period1,sc01,t0293, 60.07 , 41.08 ,,
period1,sc01,t0294, 55.57 , 39.5 ,,
period1,sc01,t0295, 55 , 42.98 ,,
period1,sc01,t0296, 55 , 29.74 ,,
period1,sc01,t0297, 45 , 45.18 ,,
period1,sc01,t0298, 50 , 44.72 ,,
period1,sc01,t0299, 45 , 37.12 ,,
period1,sc01,t0300, 55.91 , 42.98 ,,
period1,sc01,t0301, 50 , 41.08 ,,
period1,sc01,t0302, 50 , 40.5 ,,
period1,sc01,t0303, 53.6 , 37.5 ,,
period1,sc01,t0304, 50 , 37.91 ,,
period1,sc01,t0305, 56.6 , 36.79 ,,
period1,sc01,t0306, 63.15 , 34.45 ,,
period1,sc01,t0307, 50 , 49.5 ,,
period1,sc01,t0308, 58.4 , 35.64 ,,
period1,sc01,t0309, 59.01 , 54.5 ,,
period1,sc01,t0310, 61 , 50 ,,
period1,sc01,t0311, 60.1 , 52 ,,
period1,sc01,t0312, 58.98 , 44.4 ,,
period1,sc01,t0313, 57.52 , 43 ,,
period1,sc01,t0314, 57.49 , 51 ,,
period1,sc01,t0315, 59 , 51 ,,
period1,sc01,t0316, 56.83 , 47.97 ,,
period1,sc01,t0317, 55 , 43.47 ,,
period1,sc01,t0318, 58.84 , 51.5 ,,
period1,sc01,t0319, 59.23 , 52 ,,
period1,sc01,t0320, 61 , 58.73 ,,
period1,sc01,t0321, 57 , 38.61 ,,
period1,sc01,t0322, 52.53 , 36.61 ,,
period1,sc01,t0323, 52.53 , 51 ,,
period1,sc01,t0324, 52.53 , 36.79 ,,
period1,sc01,t0325, 52.53 , 27 ,,
period1,sc01,t0326, 50.09 , 33 ,,
period1,sc01,t0327, 50.02 , 33.13 ,,
period1,sc01,t0328, 52.53 , 34 ,,
period1,sc01,t0329, 55.91 , 38.55 ,,
period1,sc01,t0330, 61.41 , 33.13 ,,
period1,sc01,t0331, 63.04 , 43.21 ,,
period1,sc01,t0332, 61.16 , 35.64 ,,
period1,sc01,t0333, 58.4 , 40 ,,
period1,sc01,t0334, 57 , 40.91 ,,
period1,sc01,t0335, 54 , 37.91 ,,
period1,sc01,t0336, 49 , 37.91 ,,
period1,sc01,t0337, 45 , 39.11 ,,
period1,sc01,t0338, 44.2 , 37.91 ,,
period1,sc01,t0339, 44 , 39.04 ,,
period1,sc01,t0340, 46.83 , 38.51 ,,
period1,sc01,t0341, 45.1 , 44.06 ,,
period1,sc01,t0342, 47.14 , 41.16 ,,
period1,sc01,t0343, 54.71 , 47.97 ,,
period1,sc01,t0344, 52.1 , 36.61 ,,
period1,sc01,t0345, 53.45 , 42.72 ,,
period1,sc01,t0346, 48 , 25.82 ,,
period1,sc01,t0347, 47.9 , 38 ,,
period1,sc01,t0348, 54.25 , 40.4 ,,
period1,sc01,t0349, 60.53 , 50 ,,
period1,sc01,t0350, 59.66 , 53.2 ,,
period1,sc01,t0351, 60.02 , 60.53 ,,
period1,sc01,t0352, 60.05 , 58.05 ,,
period1,sc01,t0353, 56.73 , 50 ,,
period1,sc01,t0354, 50.13 , 45.13 ,,
period1,sc01,t0355, 47.14 , 47.12 ,,
period1,sc01,t0356, 57.23 , 12.04 ,,
period1,sc01,t0357, 57.99 , 53.2 ,,
period1,sc01,t0358, 59.84 , 53.2 ,,
period1,sc01,t0359, 59 , 50.32 ,,
period1,sc01,t0360, 57.99 , 40.32 ,,
period1,sc01,t0361, 58.9 , 40.32 ,,
period1,sc01,t0362, 53.07 , 1.72 ,,
period1,sc01,t0363, 49.6 , 30.32 ,,
period1,sc01,t0364, 47 , 35 ,,
period1,sc01,t0365, 49.6 , 38.61 ,,
period1,sc01,t0366, 47.76 , 1.72 ,,
period1,sc01,t0367, 47.01 , 37.91 ,,
period1,sc01,t0368, 60.1 , 30 ,,
period1,sc01,t0369, 62.96 , 51.56 ,,
period1,sc01,t0370, 63.65 , 53.2 ,,
period1,sc01,t0371, 62 , 50.5 ,,
period1,sc01,t0372, 59.56 , 53.2 ,,
period1,sc01,t0373, 59.2 , 42.1 ,,
period1,sc01,t0374, 58.98 , 57.01 ,,
period1,sc01,t0375, 59.2 , 56.56 ,,
period1,sc01,t0376, 58.73 , 40.5 ,,
period1,sc01,t0377, 56.7 , 46.56 ,,
period1,sc01,t0378, 55.77 , 44 ,,
period1,sc01,t0379, 62.5 , 47.1 ,,
period1,sc01,t0380, 59.33 , 47.95 ,,
period1,sc01,t0381, 59.84 , 47.1 ,,
period1,sc01,t0382, 60.06 , 50.5 ,,
period1,sc01,t0383, 60.02 , 59.07 ,,
period1,sc01,t0384, 56 , 43.32 ,,
period1,sc01,t0385, 0.01 , 43.49 ,,
period1,sc01,t0386, 56.17 , 58.57 ,,
period1,sc01,t0387, 59.23 , 45 ,,
period1,sc01,t0388, 55 , 43.33 ,,
period1,sc01,t0389, 58.73 , 41.01 ,,
period1,sc01,t0390, 53.86 , 43.46 ,,
period1,sc01,t0391, 51.1 , 40 ,,
period1,sc01,t0392, 60 , 48.6 ,,
period1,sc01,t0393, 63.5 , 38.51 ,,
period1,sc01,t0394, 58.5 , 34.71 ,,
period1,sc01,t0395, 55 , 38.49 ,,
period1,sc01,t0396, 50 , 25.03 ,,
period1,sc01,t0397, 58.73 , 47.79 ,,
period1,sc01,t0398, 49 , 1.96 ,,
period1,sc01,t0399, 47.6 , 1.96 ,,
period1,sc01,t0400, 47.6 , 30 ,,
period1,sc01,t0401, 47.61 , 19.69 ,,
period1,sc01,t0402, 58.98 , 37.94 ,,
period1,sc01,t0403, 61.41 , 38.1 ,,
period1,sc01,t0404, 51.43 , 50.43 ,,
period1,sc01,t0405, 59.23 , 51.23 ,,
period1,sc01,t0406, 63.15 , 53.84 ,,
period1,sc01,t0407, 59.98 , 50.2 ,,
period1,sc01,t0408, 62 , 50.2 ,,
period1,sc01,t0409, 60.81 , 48.4 ,,
period1,sc01,t0410, 59.98 , 42.1 ,,
period1,sc01,t0411, 60.1 , 45 ,,
period1,sc01,t0412, 63.65 , 41.1 ,,
period1,sc01,t0413, 65.32 , 43.32 ,,
period1,sc01,t0414, 64.15 , 41.99 ,,
period1,sc01,t0415, 63.51 , 48.4 ,,
period1,sc01,t0416, 63.65 , 49.67 ,,
period1,sc01,t0417, 63.04 , 51.5 ,,
period1,sc01,t0418, 63.51 , 49.97 ,,
period1,sc01,t0419, 63.51 , 56.91 ,,
period1,sc01,t0420, 62.92 , 51.85 ,,
period1,sc01,t0421, 60 , 35.82 ,,
period1,sc01,t0422, 50 , 38.61 ,,
period1,sc01,t0423, 59.23 , 38.61 ,,
period1,sc01,t0424, 58.5 , 38.61 ,,
period1,sc01,t0425, 59.23 , 37 ,,
period1,sc01,t0426, 49 , 51.22 ,,
period1,sc01,t0427, 54.01 , 38.61 ,,
period1,sc01,t0428, 60 , 41.91 ,,
period1,sc01,t0429, 61.37 , 42.1 ,,
period1,sc01,t0430, 61.37 , 59.58 ,,
period1,sc01,t0431, 63.77 , 58.75 ,,
period1,sc01,t0432, 67 , 57.45 ,,
period1,sc01,t0433, 69.9 , 57.01 ,,
period1,sc01,t0434, 64.47 , 55.59 ,,
period1,sc01,t0435, 65.37 , 52.8 ,,
period1,sc01,t0436, 63.65 , 48.92 ,,
period1,sc01,t0437, 63.5 , 48.02 ,,
period1,sc01,t0438, 62.35 , 47.85 ,,
period1,sc01,t0439, 63.04 , 50.31 ,,
period1,sc01,t0440, 63.15 , 43.32 ,,
period1,sc01,t0441, 63 , 55.24 ,,
period1,sc01,t0442, 64 , 51.7 ,,
period1,sc01,t0443, 60 , 47.79 ,,
period1,sc01,t0444, 62.35 , 36.83 ,,
period1,sc01,t0445, 44.6 , 20 ,,
period1,sc01,t0446, 43.9 , 34.3 ,,
period1,sc01,t0447, 43.3 , 0.82 ,,
period1,sc01,t0448, 44.84 , 0.82 ,,
period1,sc01,t0449, 34.18 , 18.54 ,,
period1,sc01,t0450, 44.5 , 21 ,,
period1,sc01,t0451, 45.5 , 25 ,,
period1,sc01,t0452, 45.98 , 24.5 ,,
period1,sc01,t0453, 46 , 24.5 ,,
period1,sc01,t0454, 51 , 37.66 ,,
period1,sc01,t0455, 51 , 36.3 ,,
period1,sc01,t0456, 59.98 , 35.5 ,,
period1,sc01,t0457, 51.5 , 35.5 ,,
period1,sc01,t0458, 49.29 , 22.5 ,,
period1,sc01,t0459, 47 , 22.1 ,,
period1,sc01,t0460, 46.21 , 27.98 ,,
period1,sc01,t0461, 51 , 28.1 ,,
period1,sc01,t0462, 61.95 , 34.9 ,,
period1,sc01,t0463, 57.06 , 37.3 ,,
period1,sc01,t0464, 57.06 , 43.2 ,,
period1,sc01,t0465, 57 , 24.55 ,,
period1,sc01,t0466, 44.5 , 27 ,,
period1,sc01,t0467, 48.14 , 35.6 ,,
period1,sc01,t0468, 46.5 , 35.48 ,,
period1,sc01,t0469, 46.14 , 1.96 ,,
period1,sc01,t0470, 46 , 25 ,,
period1,sc01,t0471, 43.57 , 27.13 ,,
period1,sc01,t0472, 36.4 , 27.75 ,,
period1,sc01,t0473, 35 , 28 ,,
period1,sc01,t0474, 36.4 , 19.4 ,,
period1,sc01,t0475, 0.01 , 19.4 ,,
period1,sc01,t0476, 46.04 , 25 ,,
period1,sc01,t0477, 43.17 , 29.4 ,,
period1,sc01,t0478, 37.78 , 31 ,,
period1,sc01,t0479, 38.09 , 32.37 ,,
period1,sc01,t0480, 33.67 , 30.1 ,,
period1,sc01,t0481, 41.86 , 26.57 ,,
period1,sc01,t0482, 48 , 22.25 ,,
period1,sc01,t0483, 47.1 , 11 ,,
period1,sc01,t0484, 45.2 , 27 ,,
period1,sc01,t0485, 45 , 31.1 ,,
period1,sc01,t0486, 39.88 , 33.1 ,,
period1,sc01,t0487, 48 , 35.77 ,,
period1,sc01,t0488, 45.29 , 38.89 ,,
period1,sc01,t0489, 45 , 34.53 ,,
period1,sc01,t0490, 42 , 1.72 ,,
period1,sc01,t0491, 42 , 0.82 ,,
period1,sc01,t0492, 40.1 , 0.82 ,,
period1,sc01,t0493, 34.02 , 0.82 ,,
period1,sc01,t0494, 40.63 , 2 ,,
period1,sc01,t0495, 40.25 , 2 ,,
period1,sc01,t0496, 34.5 , 21.32 ,,
period1,sc01,t0497, 30.45 , 21.32 ,,
period1,sc01,t0498, 33.5 , 33.4 ,,
period1,sc01,t0499, 37.02 , 32.19 ,,
period1,sc01,t0500, 44.5 , 30 ,,
period1,sc01,t0501, 48.5 , 40.51 ,,
period1,sc01,t0502, 59.98 , 41.01 ,,
period1,sc01,t0503, 58.57 , 41.26 ,,
period1,sc01,t0504, 59.16 , 40.51 ,,
period1,sc01,t0505, 58.98 , 40.51 ,,
period1,sc01,t0506, 58.57 , 48 ,,
period1,sc01,t0507, 59.03 , 37.52 ,,
period1,sc01,t0508, 59.98 , 37.52 ,,
period1,sc01,t0509, 59.98 , 37.52 ,,
period1,sc01,t0510, 40.7 , 40.7 ,,
period1,sc01,t0511, 61.11 , 45.01 ,,
period1,sc01,t0512, 61.65 , 49 ,,
period1,sc01,t0513, 0 , 56.08 ,,
period1,sc01,t0514, 62.68 , 41.68 ,,
period1,sc01,t0515, 52 , 37.52 ,,
period1,sc01,t0516, 57.9 , 2 ,,
period1,sc01,t0517, 55.9 , 29.04 ,,
period1,sc01,t0518, 58.03 , 37 ,,
period1,sc01,t0519, 58.2 , 41.58 ,,
period1,sc01,t0520, 57.6 , 37 ,,
period1,sc01,t0521, 58.98 , 36.3 ,,
period1,sc01,t0522, 57.45 , 31.55 ,,
period1,sc01,t0523, 58.27 , 32 ,,
period1,sc01,t0524, 60 , 38 ,,
period1,sc01,t0525, 52.2 , 45.1 ,,
period1,sc01,t0526, 47.16 , 34.53 ,,
period1,sc01,t0527, 58.48 , 31.57 ,,
period1,sc01,t0528, 53.48 , 41.3 ,,
period1,sc01,t0529, 56.02 , 29.07 ,,
period1,sc01,t0530, 20.87 , 28.47 ,,
period1,sc01,t0531, 20.87 , 27.77 ,,
period1,sc01,t0532, 42 , 27.87 ,,
period1,sc01,t0533, 20.87 , 32.1 ,,
period1,sc01,t0534, 55.13 , 34.53 ,,
period1,sc01,t0535, 59.82 , 50.1 ,,
period1,sc01,t0536, 59.16 , 43.1 ,,
period1,sc01,t0537, 58.98 , 29.95 ,,
period1,sc01,t0538, 53.27 , 34.69 ,,
period1,sc01,t0539, 0.01 , 1 ,,
period1,sc01,t0540, 42.5 , 0.82 ,,
period1,sc01,t0541, 40 , 21 ,,
period1,sc01,t0542, 43.5 , 1.97 ,,
period1,sc01,t0543, 40.63 , 1.96 ,,
period1,sc01,t0544, 38.5 , 1.71 ,,
period1,sc01,t0545, 46.9 , 0.82 ,,
period1,sc01,t0546, 49.9 , 33 ,,
period1,sc01,t0547, 61 , 49.7 ,,
period1,sc01,t0548, 62.65 , 45.35 ,,
period1,sc01,t0549, 59.9 , 42.1 ,,
period1,sc01,t0550, 59.9 , 39.11 ,,
period1,sc01,t0551, 59.9 , 40.1 ,,
